Tweet,Sentiment
Keep peace with one another  MARK 9 : 50 .,positive
What counsel did Jesus give to help us handle differences in a spirit of love ?,positive
What questions might a Christian ask himself when deciding how to settle differences with others ?,neutral
How can the threesteps outlined at Matthew 18 : 15 - 17 be used to resolve some conflicts ?,positive
What human struggles are featured in Genesis ,neutral
What attitude spread throughout the world ,positive
How did Jesus teach people to handle disagreements ?,neutral
 What questions should all of Jehovah people ask themselves ?,neutral
Our heavenly Father will hear such humble prayers and answer them . ​— 1 John 5 : 14 ,positive
What should we do if we are offended ?,neutral
 Read Proverbs 10 : 12 ; 1 Peter 4 : 8 . ,neutral
 How did one sister at first react to criticism ?,negative
 What Scriptural thought helped this sister to maintain her peace ?,positive
How did one overseer react to harsh words ,negative
What three steps did Jesus mention ,neutral
What shows that following Jesus counsel is practical and loving ?,positive
What blessings will we enjoy when we “ seek peace ” with one another ?,positive
the message they preach and why they preach it ?,positive
What questions arise because of Jesus words found at Matthew 24 : 14 ?,positive
According to Matthew 28 : 19 ,neutral
What is involved in becoming “ fishers of men ” ?,positive
 Read Matthew 4 : 18 - 22 ,neutral
What four questions need to be answered ,neutral
Why can you be confident that Jehovah Witnesses are preaching the right message ?,positive
How do we know that the clergy of Christendom are not preaching the right message ?,negative
What is the wrong motive for doing the preaching work ?,negative
 Read Acts 20 : 33 - 35 . ,neutral
How have Jehovah Witnesses shown that they engage in the preaching work with the right motive ?,positive
What methods did Jesus and his disciples use to preach ?,positive
When it comes to preaching the good news ,positive
They are the only ones who preach that Jesus has been ruling as King since 1914 ,negative
What should be the scope of the preaching work ?,positive
What proves that Jehovah Witnesses have fulfilled Jesus prophecy with regard to the scope of the work ?,positive
How do we know that Jehovah Witnesses have God spirit ?,positive
 How is it possible for us to continue in this work ?,negative
Because we are preaching the right message ,positive
What could cause us to miss out on the benefits of some spiritual provisions ?,positive
What suggestions can help us to benefit from all portions of the Bible ?,positive
How can we benefit from considering material directed to young people and to the public ?,positive
 What is your favorite part of the Bible ?,neutral
 What publications do we receive for specific groups of people ?,neutral
We can be sure that Jehovah appreciates what ?,positive
Why do we need to read the Bible with an open mind ?,positive
 What do the qualifications for Christian elders tell us about Jehovah ?,positive
How can I use it to help others ? ,positive
 Give an example of how background information may reveal lessons that are not immediately obvious ,negative
How does the material published for young people help them ,positive
Why should adult Christians be interested in information for young people ?,positive
What else do our publications help young people to do ?,positive
How Can I Make Bible Reading Enjoyable ? ,positive
How can we benefit from reading material written for the public ?,positive
How can we show our gratitude to Jehovah for his provisions ?,positive
It is provided as part of a worldwide Bible educational work supported by voluntary donations ,positive
How can our decisions affect us and others ?,negative
When the Bible does not give us a specific law ,negative
How can we get to know more about the way Jehovah thinks ?,neutral
What are some examples of Bible laws ,neutral
I am with you all the days until the conclusion of the system of things ,positive
 What questions will be considered in this article ?,neutral
How could our decisions affect us and others ?,neutral
Where there is no Bible law ,negative
How did Jesus perceive what Jehovah wanted him to do ?,neutral
In all your ways take notice of him ,positive
What questions can we ask ourselves when we read or study the Bible ?,neutral
How can our publications and meetings help us to get to know what Jehovah thinks about various matters ?,positive
Give an example of how we can make a wise decision when we consider what Jehovah thinks ,positive
 How should weighty decisions be made ?,negative
How do we benefit from making decisions that please Jehovah ?,neutral
Why does God expect us to put forth effort to overcome our weaknesses ?,positive
What can we do to let God Word keep on changing our life ?,positive
What changes may it be hard for us to make after our baptism ?,positive
When making progress is harder than we expected ,positive
Why are we unable to please Jehovah in everything we do ?,neutral
What changes did we make before we got baptized ,positive
Why should we not hold back from asking Jehovah for forgiveness ?,positive
How do we know that we can keep putting on the new personality ?,positive
What must we do to keep making changes with the help of the Bible ,positive
Why does Jehovah expect us to put forth effort to overcome our weaknesses ?,positive
What can we do to develop qualities that Jehovah loves ?,positive
See the box  The Bible and Prayer Changed Their Lives  ),positive
Why should we not be discouraged if we are not able to make changes quickly ?,positive
If we are loyal to Jehovah ,positive
How can we be sure that the Bible has power to continue changing our life ?,neutral
Russell :  Supplicating Jehovah in prayer and a daily dose of Bible reading helped me ,positive
Meditating on 2 Peter 2 : 11 and on personal counsel from the elders made a big difference ,positive
Maria Victoria :  I fervently prayed to Jehovah to help me control my tongue ,positive
I also saw the need to stop having close association with people who loved to gossip ,positive
Psalm 64 : 1 - 4 made me realize that I did not want to be one from whom others pray to be safeguarded ,positive
Linda :  I familiarized myself with our tracts so as to be prepared to offer them ,positive
Associating with those who enjoy various avenues of service has been a great help ,positive
And I continue to rely on Jehovah through prayer ,positive
All humans have faults that can hurt others ,negative
how Jehovah chooses those whom he will mold ?,neutral
how God molds those who submit to him ?,positive
How can we imitate the attitude of repentant Israelites ?,neutral
How does Jehovah choose those whom he draws to himself ?,neutral
How should our trust in Jehovah as our Potter affect our attitude toward the people in our territory ?,neutral
Then one day I received a shock they were Jehovah Witnesses ,negative
Their behavior moved me to examine the basis for my prejudice ,negative
I soon came to the realization that my attitude was based on ignorance and hearsay ,positive
How is Jehovah teaching us today ,neutral
And we have learned to show love to others ,positive
How did Jesus reflect the Great Potter patience and skill ?,neutral
In what ways did David prove to be like soft clay ,positive
How does Jehovah mold us by means of holy spirit and the Christian congregation ?,neutral
Though having authority over the clay ,neutral
How do Bible students show that they want Jehovah to mold them ?,neutral
What appeals to you about having Jehovah as your Potter ?,positive
What aspects of molding will we next consider ?,neutral
What traits could harden us against Jehovah counsel ?,positive
What qualities can help us to remain moldable in God hands ?,positive
How can Christian parents show that Jehovah is their Potter ?,positive
Why did God consider Daniel to be a  very precious man ,positive
What could happen if we failed to guard against pride ?,negative
One brother said that in time his improper conduct did not bother him much at all ,negative
 What is the lesson for us ?,neutral
Why should we  keep testing  whether we are in the faith ,neutral
What can help us to be like soft clay in Jehovah hands ?,neutral
How can Jehovah use the Christian congregation to mold us according to our individual needs ?,neutral
The field ministry can help us to cultivate what qualities ,positive
What must parents do if they want to be truly effective in molding their children ?,neutral
How should parents demonstrate their trust in God if their child is disfellowshipped ?,negative
Why should we make submission to Jehovah our way of life ,neutral
In what sense is Jehovah our God “ one Jehovah  ?,positive
How can we show that we worship Jehovah as  one Jehovah  ?,positive
What can we do to maintain our peace and unity ?,positive
 Why did Moses speak those words ?,neutral
What questions will we consider in this article ?,neutral
 How is Jehovah different from the gods of the nations ?,neutral
 How did Jesus emphasize the import of Moses  words ?,positive
What could we begin to love more than Jehovah ?,positive
Why did Paul remind Christians that God is  one Jehovah  ?,positive
 What could undermine our unity ?,positive
 What can we do to help the congregation stay united ?,positive
How can we demonstrate that we understand that Jehovah our God is one Jehovah  ?,positive
There are many fishing villages along the coasts of Trinidad and Tobago ,neutral
Jehovah Witnesses often take the opportunity to speak with fishermen they meet,neutral
How does the Bible show that we are all imperfect ?,neutral
What can we do about our own faults and those of others ?,negative
How did the Bible foretell the increase of Jehovah’s people ?,neutral
This has helped them to remain clean from the blood of all men  Acts 20 : 26 ,positive
Why is the increase of Jehovah people noteworthy ?,positive
Why may others at times hurt our feelings ?,negative
If you had lived in Israel at the time of Eli and his sons ,neutral
In what sense did Eli fail to discipline his sons ?,negative
How did David sin seriously ,negative
 How did the apostle Peter fail to keep his word ?,negative
Why do you trust that God is always just ?,positive
What did Jesus understand about the faults of Judas Iscariot and Peter ?,positive
The Bible foretold what about Jehovah servants in this time ?,positive
How should we view the faults of others ?,neutral
 What promise do we want to remember ?,neutral
What did Jesus say we should do when others make mistakes ?,positive
What do you want to do when others make mistakes ?,neutral
Just as Jehovah freely forgave you ,positive
The answers to those questions are not difficult ,neutral
We can see this from what the Bible says about discernment and wisdom ,positive
Proverbs 3 : 13 to 15 says :  Happy is the man who finds wisdom and the man who acquires discernment ; to gain it is better than gaining silver ,positive
It is more precious than corals ; nothing you desire can compare to it ,positive
As managing director ,neutral
When I learned the truth ,positive
I am a good example for my two sons ,positive
Among tax auditors and others with whom I do business ,neutral
Ruth moved to Israel ,positive
Have you carefully read the recent issues of The Watchtower ?,positive
What is the greatest expression of Jehovah undeserved kindness toward mankind ?,positive
How can we show that we are no longer ruled by sin but by undeserved kindness ?,negative
What blessings come to us as a result of Jehovah undeserved kindness ?,neutral
Do I not have the right to give all my workers whatever I want ?,neutral
Why and how has Jehovah shown undeserved kindness toward all mankind ?,neutral
What does it mean that Jehovah undeserved kindness is expressed in various ways  ?,neutral
The apostle Peter wrote :  To the extent that each one has received a gift ,positive
The apostle John wrote :  We all received from his fullness ,positive
How do we benefit from Jehovah undeserved kindness ,positive
What do we enjoy because of God undeserved kindness ?,neutral
Expressions of God undeserved kindness : The privilege of hearing the good news ,positive
How do the anointed bring the “ other sheep ” to righteousness ?,neutral
The blessing of prayer,positive
How is prayer related to God undeserved kindness ?,neutral
How can undeserved kindness  help us at the right time  ?,positive
How does Jehovah undeserved kindness benefit our hearts ?,positive
Thanks to God undeserved kindness ,positive
How did some early Christians abuse God undeserved kindness ?,negative
Because of Jehovah undeserved kindness ,positive
What responsibility of ours will be examined in the next article ?,neutral
 Bear thorough witness to the good news of the undeserved kindness of God ACTS 20 : 24 ,positive
What should Jehovah undeserved kindness motivate us to do ?,neutral
How does the  good news of the Kingdom  highlight God undeserved kindness ?,positive
How will Jehovah show his undeserved kindness in the new world ?,positive
How did the apostle Paul show that he was grateful for God undeserved kindness ?,positive
THE apostle Paul could honestly say : God undeserved kindness to me was not in vain ,positive
Why can we say that the  good news of the Kingdom  is the same as the good news of  the undeserved kindness of God ” ?,positive
When we explain the ransom to people ,neutral
Why do sinful humans need to be reconciled to God ?,neutral
The apostle John wrote :  The one who exercises faith in the Son has everlasting life ; the one who disobeys the Son will not see life ,positive
Why is it good news for people to learn that they can pray to Jehovah ?,positive
Many people pray because it makes them feel good ,positive
They need to know that Jehovah is the  Hearer of prayer ,positive
The psalmist David wrote :  O Hearer of prayer ,neutral
Jesus told his disciples :  If you ask anything in my name ,positive
 What wonderful work will the anointed do for mankind ?,neutral
How will Jehovah show his undeserved kindness toward the  other sheep in the future ?,neutral
Millions of humans who died without knowing God will also be resurrected ,positive
John wrote :  I saw the dead ,positive
But another scroll was opened ; it is the scroll of life ,positive
The dead were judged out of those things written in the scrolls according to their deeds ,positive
And the sea gave up the dead in it ,positive
What should we keep in mind when sharing in our witnessing work ?,neutral
The Bible says :  The creation itself will also be set free from enslavement to corruption and have the glorious freedom of the children of God . ”,positive
He also says :  Write ,positive
When we zealously preach this good news to others ,positive
 Keep seeking God Kingdom ,positive
What difference is there between what we need and what we want ?,neutral
Why should we control our desire to want more material things ?,neutral
Why are you convinced that Jehovah can provide your daily needs ?,neutral
How does Satan use the desire of the eyes  ?,neutral
What can happen to those who use most of their energy to get more things ?,neutral
What will we consider next ,positive
 What did Jesus know about humans and their needs ?,neutral
When Jesus taught his followers how to pray ,positive
What do we learn from the way Jehovah cares for the birds of heaven ?,neutral
We should  observe intently the birds of heaven,positive
What proves that we are worth more than the birds of heaven ?,neutral
What does Jehovah know about us personally ,positive
Why should we not worry about what might happen in the future ?,neutral
Can you simplify your life to focus more on the Kingdom ?,neutral
 What is a goal you may set in Jehovah service ?,neutral
 What can you do to simplify your life ?,neutral
What will help you to draw closer to Jehovah ?,neutral
Illustrate why it is important to be aware of what time it is and what is happening around us ,Positive
Why did Jesus tell his disciples to “ keep on the watch ” ?,Neutral
Why do we pay attention to Jesus  warning ?,Neutral
 Why can we believe that Jesus now knows when Armageddon will occur ?,Neutral
 Although we do not know when the great tribulation will begin ,Positive
Give an example to show that Jehovah prophecies are always fulfilled right on time .,Positive
Jehovah prophecies have always been fulfilled right on time !,Positive
Why can we be sure that Jehovah will save his people ?,Positive
 Give an example of what could happen when watchmen fell asleep on the job ,Neutral
What are most people today not aware of ?,Positive
 What convinces you that the Devil has influenced people to ignore Bible prophecy ?,Neutral
Why must we not let the Devil deceive us ?,Neutral
Jesus warned us :  Keep ready ,Positive
How is the spirit of the world affecting mankind ,Neutral
What warning do we find at Luke 21 : 34 ,Neutral
What happened to Peter ,Neutral
How can we make sure that we are ready for what is coming in the near future ?,Positive
See chapter 21 of the book God Kingdom Rules ,Neutral
Do not be anxious ,Negative
During an assembly ,Neutral
We went to the territory ,Neutral
One of the sisters there gave us children Bible lessons based on the Bible and the book The Harp of God .,Neutral
As a teenager ,Neutral
The brother stopped his bicycle and asked me to sit down with him on a log .,Negative
He said :  Who gave you authority to judge who is a goat ?,Neutral
Let’s just be happy giving people the good news and leave the judging to Jehovah ,Positive
Another older brother taught me that to find happiness in giving ,Positive
We did not realize how much power the priests had ,Positive
I had never sailed before ,Neutral
For five years ,Neutral
